survey_date,survey_start,deviceid,end_survey,instance_name,audit,enumerator_id,upazilla_name,union_name,intro_text,informed_consent,respondent_age,gps_reading,_gps_reading_latitude,_gps_reading_longitude,_uuid,_index
22/08/2019,2019-08-22T11:13:03.565+06:00,8.63956E+14,2019-08-22T11:45:38.726+06:00,cd2b79f6-af73-441e-a596-f433558bff5c,,2048,ukhiya,haldia_palong,,yes,24,21.30183833333333 92.10070499999999 17.6 4.9,21.30183833,92.100705,uuid_1,1
08/09/2019,2019-09-08T10:40:09.484+06:00,8.60323E+14,2019-09-08T11:24:36.822+06:00,d2210d78-c0aa-4823-bc0c-4597f8ee64f2,,83,teknaf,teknaf_pourasabha,,yes,60,20.85780666666667 92.30200333333332 4.7 4.4,20.85780667,92.30200333,uuid_2,2
21/08/2019,2019-08-21T11:51:06.109+06:00,8.63956E+14,2019-08-21T12:33:06.323+06:00,8d0e922f-191b-4155-93fe-9b4037bf8691,,42,ukhiya,palong_khali,,yes,25,21.166886666666663 92.11938166666665 15.7 3.1,21.16688667,92.11938167,uuid_3,3
21/08/2019,2019-08-21T11:00:55.061+06:00,8.63956E+14,2019-08-21T11:51:17.745+06:00,49283d7f-688a-4715-8cdb-385114f9f224,,3070,ukhiya,ranta_palong,,yes,43,21.274835 92.13127666666666 11.2 2.2,21.274835,92.13127667,uuid_4,4
21/08/2019,2019-08-21T11:33:58.548+06:00,8.63956E+14,2019-08-21T12:22:33.876+06:00,af6cf6a6-bcd4-4cc8-8f9a-7acfe35603c3,,37,ukhiya,ranta_palong,,yes,27,21.29240333333333 92.13476166666666 17.8 3.8,21.29240333,92.13476167,uuid_5,5
19/08/2019,2019-08-19T10:36:49.000+06:00,8.63956E+14,2019-08-19T11:15:20.577+06:00,89b6049f-729d-43b6-a27a-41a6ff6458c3,,120,ukhiya,palong_khali,,yes,27,21.14744333333333 92.14731833333332 -7.9 5.0,21.14744333,92.14731833,uuid_6,6
20/08/2019,2019-08-20T13:37:57.258+06:00,8.63956E+14,2019-08-20T14:15:33.260+06:00,778e1ec6-1325-47ab-aef1-95788bacc7f6,,2048,ukhiya,raja_palong,,yes,52,21.24856333333333 92.14450333333335 9.0 4.9,21.24856333,92.14450333,uuid_7,7
22/08/2019,2019-08-22T11:05:03.719+06:00,8.63956E+14,2019-08-22T11:54:57.595+06:00,e79608fe-7875-4d6d-b448-ef0dff4e577d,,1015,ukhiya,ranta_palong,,yes,66,21.28132833333333 92.14942666666666 25.5 5.0,21.28132833,92.14942667,uuid_8,8
27/08/2019,2019-08-27T09:24:53.132+06:00,8.63956E+14,2019-08-27T10:03:44.607+06:00,a94c910f-e8ad-492a-8422-3b69b3d43bc6,,78,ukhiya,jalia_palong,,yes,18,21.267578333333336 92.05691 16.8 5.0,21.26757833,92.05691,uuid_9,9
22/08/2019,2019-08-22T10:43:15.895+06:00,8.63956E+14,2019-08-22T11:26:12.812+06:00,094898f5-0075-4f24-9c69-8f81ef3b2441,,106,ukhiya,ranta_palong,,yes,22,21.26544666666667 92.14045666666668 3.7 2.7,21.26544667,92.14045667,uuid_10,10
01/09/2019,2019-09-01T12:00:17.533+06:00,8.63956E+14,2019-09-01T12:40:59.671+06:00,486ede7e-6338-4212-9b8f-9f3e6d941e6a,,78,teknaf,sabrang,,yes,40,20.824616666666664 92.29790666666668 34.9 5.0,20.82461667,92.29790667,uuid_11,11
27/08/2019,2019-08-27T12:55:19.246+06:00,8.63956E+14,2019-08-27T13:42:53.760+06:00,4689af15-efff-43e3-8500-66381f785f42,,37,ukhiya,jalia_palong,,yes,50,21.285375 92.04998833333333 11.1 5.0,21.285375,92.04998833,uuid_12,12
24/08/2019,2019-08-24T10:36:23.919+06:00,8.63956E+14,2019-08-24T11:15:05.153+06:00,d57964c9-dab0-4d40-a0ee-1c80907e46b4,,42,teknaf,sabrang,,yes,23,20.824723333333335 92.30349999999999 21.9 3.5,20.82472333,92.3035,uuid_13,13
01/09/2019,2019-09-01T10:13:57.535+06:00,8.63956E+14,2019-09-01T10:56:53.211+06:00,84aa3208-f991-457d-8b79-c490ce1aacc2,,110,teknaf,sabrang,,yes,55,20.80699666666667 92.32126833333332 -25.4 5.0,20.80699667,92.32126833,uuid_14,14
22/08/2019,2019-08-22T11:29:05.902+06:00,8.65313E+14,2019-08-22T12:27:27.237+06:00,ac55b61b-a28b-4926-bd24-6b99967021cb,,2019,ukhiya,haldia_palong,,yes,38,21.286800000000003 92.09472833333332 2.9 4.8,21.2868,92.09472833,uuid_15,15
28/08/2019,2019-08-28T09:59:33.543+06:00,8.63956E+14,2019-08-28T10:45:48.819+06:00,9b2c58df-8648-4297-9064-8715848e7b29,,80,ukhiya,jalia_palong,,yes,24,21.290621666666667 92.08028833333334 10.5 1.9,21.29062167,92.08028833,uuid_16,16
20/08/2019,2019-08-20T12:20:46.666+06:00,8.63956E+14,2019-08-20T13:11:15.879+06:00,9165f28b-8e6b-4790-a5f6-5f9e86b16ce8,,62,ukhiya,raja_palong,,yes,50,21.245703333333335 92.13619500000001 12.2 5.0,21.24570333,92.136195,uuid_17,17
08/08/2019,2019-08-08T11:35:15.841+06:00,8.63956E+14,2019-08-08T12:14:11.134+06:00,5d1d162d-7c3b-41f7-a245-941e2d0f6fa3,,78,teknaf,teknaf,,yes,19,20.85861 92.28550666666666 7.8 4.4,20.85861,92.28550667,uuid_18,18
08/09/2019,2019-09-08T12:08:11.915+06:00,8.60323E+14,2019-09-08T12:57:38.251+06:00,3e82a722-0438-4116-b5da-01049542fdef,,83,teknaf,teknaf_pourasabha,,yes,36,20.857933333333335 92.30185000000002 39.2 2.6,20.85793333,92.30185,uuid_19,19
09/09/2019,2019-09-09T10:46:54.677+06:00,3.53883E+14,2019-09-09T11:31:43.683+06:00,25dbbb0d-6756-4b8a-9b86-f1a5d8945857,,93,teknaf,teknaf_pourasabha,,yes,45,20.855858144726913 92.29332387362203 -51.01019523797078 4.0,20.85585814,92.29332387,uuid_20,20
09/09/2019,2019-09-09T13:04:30.944+06:00,8.63956E+14,2019-09-09T13:50:19.684+06:00,2cf9f618-869c-4eef-a15d-c832029795cf,,80,teknaf,teknaf_pourasabha,,yes,30,20.863371666666662 92.283805 41.5 4.3,20.86337167,92.283805,uuid_21,21
26/08/2019,2019-08-26T10:40:32.286+06:00,8.65313E+14,2019-08-26T11:23:48.779+06:00,b4bcb731-ccde-4b32-b03f-4147fdb034af,,75,ukhiya,haldia_palong,,yes,28,21.28785833333333 92.11782333333333 4.3 3.7,21.28785833,92.11782333,uuid_22,22
20/08/2019,2019-08-20T12:45:08.371+06:00,8.63956E+14,2019-08-20T13:27:57.855+06:00,e41ac53c-35fb-4514-af05-1017794ed4e2,,3066,ukhiya,palong_khali,,yes,22,21.217235 92.14254166666666 -8.7 4.6,21.217235,92.14254167,uuid_23,23
24/08/2019,2019-08-24T11:43:46.404+06:00,8.63128E+14,2019-08-24T12:29:58.445+06:00,6b7b722f-cfa8-4fba-b809-56cc8a93bdc8,,25,teknaf,sabrang,,yes,20,20.824711666666666 92.29782500000002 -14.4 2.9,20.82471167,92.297825,uuid_24,24
17/08/2019,2019-08-17T14:31:01.858+06:00,8.65313E+14,2019-08-17T15:16:37.409+06:00,84c4080f-e66a-4f9d-ac8f-c475acd6a3fe,,89,teknaf,whykong,,yes,60,21.104188333333333 92.20607833333334 21.4 5.0,21.10418833,92.20607833,uuid_25,25
08/09/2019,2019-09-08T12:11:03.314+06:00,8.65313E+14,2019-09-08T12:58:19.088+06:00,8e40b248-a6df-4523-8e68-901c07ee2194,,75,teknaf,teknaf_pourasabha,,yes,50,20.862481666666667 92.29944833333333 4.5 4.3,20.86248167,92.29944833,uuid_26,26
07/08/2019,2019-08-07T14:14:46.582+06:00,8.60323E+14,2019-08-07T14:50:48.733+06:00,ee1088c0-8d44-40cf-95d5-4daff79b6cc5,,2038,teknaf,teknaf,,yes,55,20.98724666666667 92.19912833333335 1.6 3.9,20.98724667,92.19912833,uuid_27,27
18/08/2019,2019-08-18T10:27:44.881+06:00,8.63956E+14,2019-08-18T11:06:26.894+06:00,3e3bf3f8-8969-4339-b6c9-f1cc55bebd1a,,120,teknaf,whykong,,yes,20,21.090126666666666 92.14475833333333 61.9 4.4,21.09012667,92.14475833,uuid_28,28
09/09/2019,2019-09-09T09:47:59.969+06:00,8.63956E+14,2019-09-09T10:32:07.360+06:00,da8622a1-b012-4c7c-a08e-2a585dc0a88e,,31,teknaf,teknaf_pourasabha,,yes,45,20.862445 92.29467333333332 10.4 4.3,20.862445,92.29467333,uuid_29,29
28/08/2019,2019-08-28T11:51:51.739+06:00,8.63956E+14,2019-08-28T12:32:08.329+06:00,d6c54243-7e52-47ed-98e3-541a14412339,,115,ukhiya,jalia_palong,,yes,35,21.287875 92.07085833333333 16.7 4.3,21.287875,92.07085833,uuid_30,30
20/08/2019,2019-08-20T10:42:20.371+06:00,8.63956E+14,2019-08-20T11:25:17.137+06:00,a8b78f03-6c3c-495a-a567-9f917c91d2a3,,106,ukhiya,raja_palong,,yes,55,21.238180000000003 92.15557333333332 14.3 2.7,21.23818,92.15557333,uuid_31,31
24/08/2019,2019-08-24T12:46:21.288+06:00,8.63956E+14,2019-08-24T13:41:42.049+06:00,3b2cbed5-1d7f-49c5-93d9-55f7de046ca0,,18,teknaf,sabrang,,yes,32,20.811545000000002 92.31033000000001 37.8 4.9,20.811545,92.31033,uuid_32,32
24/08/2019,2019-08-24T13:10:32.745+06:00,8.63819E+14,2019-08-24T13:48:47.189+06:00,1c00d702-9ddc-45ff-a811-2e4da7953197,,28,teknaf,sabrang,,yes,60,20.828790000000005 92.28833833333334 13.8 4.5,20.82879,92.28833833,uuid_33,33
01/09/2019,2019-09-01T09:48:50.348+06:00,8.60323E+14,2019-09-01T10:52:49.096+06:00,c2a0ac7c-27a2-4077-804f-90549448c9ec,,85,teknaf,sabrang,,yes,40,20.83528666666667 92.28865833333333 18.4 2.6,20.83528667,92.28865833,uuid_34,34
19/08/2019,2019-08-19T11:47:23.591+06:00,8.63956E+14,2019-08-19T12:29:59.998+06:00,3b967f41-50f3-4438-a71b-5376c5fafb7b,,12,teknaf,whykong,,yes,30,21.141994999999998 92.19272833333335 20.4 4.9,21.141995,92.19272833,uuid_35,35
22/08/2019,2019-08-22T13:04:49.249+06:00,8.65313E+14,2019-08-22T13:54:29.091+06:00,dfeb35c0-b678-43cd-be60-17176c00bd9b,,2019,ukhiya,haldia_palong,,yes,42,21.288884999999997 92.09731333333333 8.5 4.9,21.288885,92.09731333,uuid_36,36
17/08/2019,2019-08-17T11:54:51.119+06:00,8.63128E+14,2019-08-17T12:43:53.758+06:00,d0000c5f-5120-46c2-80c3-75c77b933bfb,,93,teknaf,nhilla,,yes,25,21.05248 92.22666499999998 26.3 2.5,21.05248,92.226665,uuid_37,37
22/08/2019,2019-08-22T12:29:26.770+06:00,3.53883E+14,2019-08-22T13:14:11.576+06:00,571f1cda-df2d-4193-94ca-9bf340ff1246,,3033,ukhiya,ranta_palong,,yes,40,21.278768819420996 92.10595437852895 5.075843465487573 4.0,21.27876882,92.10595438,uuid_38,38
22/08/2019,2019-08-22T09:45:41.490+06:00,8.63956E+14,2019-08-22T10:26:36.166+06:00,0da73501-55c9-495d-8db2-1f604fecd7d7,,120,ukhiya,ranta_palong,,yes,30,21.28596333333333 92.14011166666666 14.9 4.9,21.28596333,92.14011167,uuid_39,39
